,ARRANGED,Ethal Group (PVT) Ltd,RC/Ant,Kahapola,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Ethal Group (PVT) Ltd,MC,Kahapola,,Monthly,,,Janadara,,,,,,,,,,,,,✅,,,,,,,,,,,,,,,,,
,ARRANGED,CEWAS Rathmalana,GPC/RC/FLY/MC,Rathmalana,0754053481 (chathurani),Monthly,,,Janadara,,,,,,,,,,,,,,,,✅,,,,,,,,,,,,,,
,ARRANGED,CEWAS Rathmalana,MC,Rathmalana,0763591144 (Office),FORTNIGHTY,,,Janadara,,,,,,,,,,,,,,❎,,✅,,,,,,,,,,,,,,
,ARRANGED,Drugs Corporation,GPC/RC/MC,Nawinna,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB -Nawam Mawatha,GPC/MC,,,Monthly,2 pm Sunday,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB - DHARMAPALA,GPC/MC,,,Monthly,2 pm Sunday,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Mr.Hussain house,GPC/RC,Abdul Caffoor,,Monthly,,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Gills International - Katunayake,GPC+RC,Katunayake - (KTN),,Monthly,Sunday,3 hrs - 02 PCT,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Gills International - Katunayake,FLY,Katunayake - (KTN),,Monthly,Monday,1.5 hrs - 02 PCT,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Kalaniya Pradeshiya sabawa,RC,Kelaniya,711775624,Monthly,,,pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Mr.Hisham house,GPC/RC/MC,Alfred in front kollupitiya durdence,,Monthly,,,Pubudu,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Heritage Teas (Pvt) Ltd,GPC (cockroch)/RC,Wellampitiya,,Monthly,,,Pubudu,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Asian Agro Products,GPC,Colombo - (KTN),0771080112 (Ashen),Monthly,2nd week sunday,,Saman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Grand meitland Hotel,GPC/RC,Colombo 07,,Monthly,,,Saman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Gills Food - Katunayake,GPC+RC,Katunayake,,Monthly,Sunday,,wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Amagi Food,GPC/RC/MC,Ekala - (KTN),0770899800 (Nimesh),Monthly,"1st week Saturday after 12p.m ,Sunday",,Wijenayaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
